,team,salary,Player,position,season
429,Philadelphia 76ers,0.887,Samuel Dalembert, C,2003-2004
430,Indiana Pacers,0.862,Primoz Brezec, C,2003-2004
431,Indiana Pacers,0.861,Jamaal Tinsley, PG,2003-2004
432,San Antonio Spurs,0.856,Tony Parker, PG,2003-2004
433,Sacramento Kings,0.764,Gerald Wallace, SF,2003-2004
434,LA Clippers,0.639,Predrag Drobnjak, C,2003-2004
435,Minnesota Timberwolves,0.587,Trenton Hassell, SF,2003-2004
436,Miami Heat,29.464,Shaquille O'Neal, C,2004-2005
437,Dallas Mavericks,14.609,Michael Finley, SG,2004-2005
438,Houston Rockets,14.487,Tracy McGrady, SG,2004-2005
439,Orlando Magic,14.487,Grant Hill, SF,2004-2005
440,Miami Heat,13.44,Eddie Jones, SG,2004-2005
441,Los Angeles Lakers,13.346,Brian Grant, PF,2004-2005
442,Toronto Raptors,13.281,Vince Carter, SF,2004-2005
443,New York Knicks,12.9,Tim Thomas, PF,2004-2005
444,Chicago Bulls,12.0,Antonio Davis, PF,2004-2005
445,San Antonio Spurs,12.0,Glenn Robinson, SF,2004-2005
446,Portland Trail Blazers,11.821,Nick Van Exel, PG,2004-2005
447,Houston Rockets,19.684,Dikembe Mutombo, C,2004-2005
448,Portland Trail Blazers,10.937,Theo Ratliff, C,2004-2005
449,LA Clippers,9.817,Kerry Kittles, SG,2004-2005
450,Philadelphia 76ers,9.3,Jamal Mashburn, SF,2004-2005
451,New York Knicks,8.45,Maurice Taylor, PF,2004-2005
452,Portland Trail Blazers,8.444,Derek Anderson, SG,2004-2005
453,Dallas Mavericks,8.273,Alan Henderson, PF,2004-2005
454,Indiana Pacers,8.26,Austin Croshere, PF,2004-2005
455,Dallas Mavericks,8.105,Erick Dampier, C,2004-2005
456,Orlando Magic,7.992,Kelvin Cato, C,2004-2005
457,Denver Nuggets,7.75,Marcus Camby, C,2004-2005
458,New York Knicks,17.531,Allan Houston, SG,2004-2005
459,New York Knicks,7.3,Shandon Anderson, SF,2004-2005
460,Memphis Grizzlies,7.15,Lorenzen Wright, PF,2004-2005
461,Dallas Mavericks,7.0,Jerry Stackhouse, SF,2004-2005
462,Sacramento Kings,6.875,Doug Christie, SG,2004-2005
463,Sacramento Kings,6.875,Peja Stojakovic, SF,2004-2005
464,Denver Nuggets,6.667,Kenyon Martin, PF,2004-2005
465,Utah Jazz,6.375,Howard Eisley, PG,2004-2005
466,San Antonio Spurs,6.27,Nazr Mohammed, C,2004-2005
467,Seattle SuperSonics,6.191,Vitaly Potapenko, C,2004-2005
468,Miami Heat,6.078,Christian Laettner, PF,2004-2005
469,Sacramento Kings,17.351,Chris Webber, C,2004-2005
470,Memphis Grizzlies,6.022,Stromile Swift, PF,2004-2005
471,Portland Trail Blazers,15.75,Damon Stoudamire, PG,2004-2005
472,Seattle SuperSonics,14.625,Ray Allen, SG,2004-2005
473,Minnesota Timberwolves,14.625,Latrell Sprewell, SG,2004-2005
474,Boston Celtics,14.625,Antoine Walker, PF,2004-2005
475,New York Knicks,14.625,Stephon Marbury, PG,2004-2005
476,Detroit Pistons,6.0,Ben Wallace, PF,2004-2005
477,Seattle SuperSonics,5.922,Danny Fortson, C,2004-2005
478,Milwaukee Bucks,5.9,Calvin Booth, C,2004-2005
479,Milwaukee Bucks,5.899,Joe Smith, PF,2004-2005
480,Houston Rockets,5.899,Clarence Weatherspoon, PF,2004-2005
481,New York Knicks,5.885,Kurt Thomas, PF,2004-2005
482,Charlotte Bobcats,5.884,Jahidi White, C,2004-2005
483,Sacramento Kings,5.883,Cuttino Mobley, SG,2004-2005
484,Indiana Pacers,5.792,Scot Pollard, C,2004-2005
485,Phoenix Suns,5.75,Steve Nash, PG,2004-2005
486,Dallas Mavericks,5.714,Shawn Bradley, C,2004-2005
487,New York Knicks,5.6,Jerome Williams, PF,2004-2005
488,Sacramento Kings,5.5,Corliss Williamson, PF,2004-2005
489,Philadelphia 76ers,5.5,Aaron McKie, SG,2004-2005
490,Portland Trail Blazers,5.419,Darius Miles, SF,2004-2005
491,Washington Wizards,5.361,Kwame Brown, C,2004-2005
492,Phoenix Suns,5.355,Bo Outlaw, PF,2004-2005
493,Milwaukee Bucks,4.915,Marcus Fizer, F,2004-2005
494,Toronto Raptors,4.875,Lamond Murray, SF,2004-2005
495,Cleveland Cavaliers,4.875,Eric Snow, PG,2004-2005
496,Orlando Magic,4.8,Tony Battie, C,2004-2005
497,Atlanta Hawks,4.8,Michael Stewart, PF,2004-2005
498,Memphis Grizzlies,4.482,Mike Miller, SG,2004-2005
499,Memphis Grizzlies,4.318,Pau Gasol, C,2004-2005
500,Philadelphia 76ers,4.225,Marc Jackson, PF,2004-2005
501,Los Angeles Lakers,4.2,Chucky Atkins, PG,2004-2005
502,Denver Nuggets,4.119,DerMarr Johnson, SF,2004-2005
503,Los Angeles Lakers,3.785,Chris Mihm, C,2004-2005
504,New York Knicks,3.6,Moochie Norris, PG,2004-2005
505,New York Knicks,3.475,Jamal Crawford, SG,2004-2005
506,Portland Trail Blazers,3.215,Joel Przybilla, C,2004-2005
507,Memphis Grizzlies,3.212,Shane Battier, SF,2004-2005
508,Toronto Raptors,3.15,Aaron Williams, C,2004-2005
509,Chicago Bulls,3.15,Othella Harrington, PF,2004-2005
510,Sacramento Kings,3.15,Bobby Jackson, PG,2004-2005
511,Miami Heat,3.073,Keyon Dooling, PG,2004-2005
512,Toronto Raptors,3.054,Jerome Moiso, C,2004-2005
513,Washington Wizards,3.043,Etan Thomas, C,2004-2005
514,Golden State Warriors,3.0,Derek Fisher, PG,2004-2005
515,New Orleans Hornets,3.0,George Lynch, SF,2004-2005
516,Golden State Warriors,2.232,Troy Murphy, PF,2004-2005
517,Minnesota Timberwolves,2.212,Mark Madsen, PF,2004-2005
518,Sacramento Kings,1.985,Michael Bradley, PF,2004-2005
519,New Jersey Nets,1.887,Jason Collins, C,2004-2005
520,Portland Trail Blazers,1.805,Zach Randolph, PF,2004-2005
521,Utah Jazz,1.672,Andrei Kirilenko, SF,2004-2005
522,Philadelphia 76ers,1.6,Samuel Dalembert, C,2004-2005
523,Indiana Pacers,1.554,Jamaal Tinsley, PG,2004-2005
524,Charlotte Bobcats,1.554,Primoz Brezec, C,2004-2005
525,San Antonio Spurs,1.545,Tony Parker, PG,2004-2005
526,Charlotte Bobcats,1.377,Gerald Wallace, SF,2004-2005
527,Seattle SuperSonics,2.969,Mateen Cleaves, PG,2004-2005
528,Atlanta Hawks,2.949,Jason Collier, C,2004-2005
529,Minnesota Timberwolves,2.937,Eddie Griffin, PF,2004-2005
530,Orlando Magic,2.803,Hedo Turkoglu, SF,2004-2005
531,Cleveland Cavaliers,2.695,DeSagana Diop, C,2004-2005
532,Milwaukee Bucks,2.68,Desmond Mason, SF,2004-2005
533,Phoenix Suns,2.562,Quentin Richardson, SF,2004-2005
534,Golden State Warriors,2.481,Rodney White, SF,2004-2005
535,New Orleans Hornets,2.474,Jamaal Magloire, C,2004-2005
536,Golden State Warriors,2.39,Speedy Claxton, PG,2004-2005
537,Toronto Raptors,2.371,Morris Peterson, SG,2004-2005
538,New Jersey Nets,2.363,Donnell Harvey, PF,2004-2005
539,Orlando Magic,2.362,DeShawn Stevenson, SG,2004-2005
540,Phoenix Suns,2.358,Joe Johnson, G,2004-2005
541,Philadelphia 76ers,2.332,Kedrick Brown, SG,2004-2005
542,Memphis Grizzlies,2.322,Jake Tsakalidis, C,2004-2005
543,Seattle SuperSonics,2.301,Vladimir Radmanovic, SF,2004-2005
544,LA Clippers,2.269,Mamadou N'diaye, C,2004-2005
545,New Jersey Nets,2.266,Richard Jefferson, F,2004-2005
546,Miami Heat,20.0,Shaquille O'Neal, C,2005-2006
547,LA Clippers,15.75,Vin Baker, PF,2005-2006
548,Orlando Magic,15.75,Anfernee Hardaway, SF,2005-2006
549,Houston Rockets,15.69425,Tracy McGrady, SG,2005-2006
550,Orlando Magic,15.69425,Grant Hill, SF,2005-2006
551,Memphis Grizzlies,14.66625,Eddie Jones, SG,2005-2006
552,Phoenix Suns,13.975,Tim Thomas, PF,2005-2006
553,Toronto Raptors,13.865,Antonio Davis, PF,2005-2006
554,Boston Celtics,13.843156,Paul Pierce, SF,2005-2006
555,New Jersey Nets,13.843156,Vince Carter, SF,2005-2006
556,Golden State Warriors,13.7,Baron Davis, PG,2005-2006
557,Philadelphia 76ers,19.125,Chris Webber, C,2005-2006
558,Orlando Magic,13.7,Steve Francis, PG,2005-2006
559,Phoenix Suns,13.7,Shawn Marion, SG,2005-2006
560,Seattle SuperSonics,13.22314,Ray Allen, SG,2005-2006
561,LA Clippers,13.152,Elton Brand, PF,2005-2006
562,Milwaukee Bucks,12.0,Michael Redd, SG,2005-2006
563,Atlanta Hawks,12.0,Joe Johnson, G,2005-2006
564,Portland Trail Blazers,11.666666,Theo Ratliff, C,2005-2006
565,Sacramento Kings,11.5,Mike Bibby, PG,2005-2006
566,Los Angeles Lakers,11.448596,Lamar Odom, PF,2005-2006
567,Utah Jazz,11.260483,Carlos Boozer, PF,2005-2006
568,Minnesota Timberwolves,18.0,Kevin Garnett, PF,2005-2006
569,Memphis Grizzlies,10.993,Pau Gasol, C,2005-2006
570,Utah Jazz,10.983,Andrei Kirilenko, SF,2005-2006
571,Denver Nuggets,10.886364,Kenyon Martin, PF,2005-2006
572,Detroit Pistons,10.86,Rasheed Wallace, PF,2005-2006
573,Portland Trail Blazers,10.666667,Zach Randolph, PF,2005-2006
574,Boston Celtics,10.623288,Raef LaFrentz, C,2005-2006
575,Minnesota Timberwolves,10.5,Wally Szczerbiak, SG,2005-2006
576,Cleveland Cavaliers,10.3449,Larry Hughes, SG,2005-2006
577,Washington Wizards,10.2432,Gilbert Arenas, PG,2005-2006
578,New Jersey Nets,10.2,Richard Jefferson, F,2005-2006
579,Philadelphia 76ers,16.453125,Allen Iverson, SG,2005-2006
580,Philadelphia 76ers,10.075,Jamal Mashburn, SF,2005-2006
581,New York Knicks,16.453125,Stephon Marbury, PG,2005-2006
582,New Jersey Nets,16.44,Jason Kidd, PG,2005-2006
583,Indiana Pacers,16.44,Jermaine O'Neal, C,2005-2006
584,Los Angeles Lakers,15.946875,Kobe Bryant, SF,2005-2006
585,San Antonio Spurs,15.845157,Tim Duncan, C,2005-2006
586,Phoenix Suns,9.625,Steve Nash, PG,2005-2006
587,Seattle SuperSonics,9.571429,Rashard Lewis, PF,2005-2006
588,Denver Nuggets,9.4,Marcus Camby, C,2005-2006
589,New York Knicks,9.1,Maurice Taylor, PF,2005-2006
590,Golden State Warriors,8.888888,Jason Richardson, SG,2005-2006
591,Sacramento Kings,8.75,Brad Miller, C,2005-2006
592,Cleveland Cavaliers,8.743238,Zydrunas Ilgauskas, C,2005-2006
593,Orlando Magic,8.64,Kelvin Cato, C,2005-2006
594,Philadelphia 76ers,8.477178,Samuel Dalembert, C,2005-2006
595,San Antonio Spurs,8.4,Tony Parker, PG,2005-2006
596,Dallas Mavericks,8.367187,Jerry Stackhouse, SF,2005-2006
597,Milwaukee Bucks,8.333334,Jamaal Magloire, C,2005-2006
598,Chicago Bulls,8.29967,Tyson Chandler, C,2005-2006
599,Utah Jazz,8.25,Mehmet Okur, C,2005-2006
600,Sacramento Kings,8.183769,Kenny Thomas, PF,2005-2006
601,Detroit Pistons,8.125,Richard Hamilton, SG,2005-2006
602,Denver Nuggets,8.1,Andre Miller, PG,2005-2006
603,Milwaukee Bucks,8.0,Bobby Simmons, SF,2005-2006
604,Sacramento Kings,8.0,Bonzi Wells, SG,2005-2006
605,"NO/Oklahoma City
 Hornets",8.0,P.J. Brown, PF,2005-2006
606,Indiana Pacers,7.9,Austin Croshere, PF,2005-2006
607,Memphis Grizzlies,7.7,Lorenzen Wright, PF,2005-2006
608,Dallas Mavericks,7.6625,Erick Dampier, C,2005-2006
609,Miami Heat,7.5625,Jason Williams, PG,2005-2006
610,Sacramento Kings,7.525,Peja Stojakovic, SF,2005-2006
611,Dallas Mavericks,7.5,Doug Christie, SG,2005-2006
612,Los Angeles Lakers,7.5,Kwame Brown, C,2005-2006
613,Detroit Pistons,7.5,Ben Wallace, PF,2005-2006
614,San Antonio Spurs,7.428937,Manu Ginobili, G,2005-2006
615,New York Knicks,7.394663,Eddy Curry, C,2005-2006
616,Golden State Warriors,7.365079,Troy Murphy, PF,2005-2006
617,Golden State Warriors,7.3125,Adonal Foyle, C,2005-2006
618,Portland Trail Blazers,7.25,Darius Miles, SF,2005-2006
619,LA Clippers,7.241379,Cuttino Mobley, SG,2005-2006
620,"NO/Oklahoma City
 Hornets",7.233333,Desmond Mason, SF,2005-2006
621,Indiana Pacers,7.175,Jonathan Bender, SF,2005-2006
622,Phoenix Suns,7.085919,Kurt Thomas, PF,2005-2006
623,LA Clippers,7.0,Corey Maggette, SF,2005-2006
624,New York Knicks,6.979147,Malik Rose, PF,2005-2006
625,Atlanta Hawks,6.9755,Al Harrington, PF,2005-2006
626,Indiana Pacers,5.61,Stephen Jackson, SF,2005-2006
627,Houston Rockets,5.594906,Yao Ming, C,2005-2006
628,Minnesota Timberwolves,5.515875,Mark Blount, C,2005-2006
629,San Antonio Spurs,5.5,Nazr Mohammed, C,2005-2006
630,New Jersey Nets,5.5,Jason Collins, C,2005-2006
631,Cleveland Cavaliers,5.484375,Eric Snow, PG,2005-2006
632,Indiana Pacers,5.4,Jamaal Tinsley, PG,2005-2006
633,Orlando Magic,5.3933,Hedo Turkoglu, SF,2005-2006
634,Golden State Warriors,5.3933,Derek Fisher, PG,2005-2006
635,Dallas Mavericks,5.3933,Marquis Daniels, SG,2005-2006
636,Washington Wizards,5.3933,Etan Thomas, C,2005-2006
637,Minnesota Timberwolves,5.280528,Marko Jaric, PG,2005-2006
638,Minnesota Timberwolves,5.253,Troy Hudson, PG,2005-2006
639,Orlando Magic,5.2,Tony Battie, C,2005-2006
640,Houston Rockets,5.075,David Wesley, SG,2005-2006
641,Utah Jazz,5.02,Matt Harpring, SF,2005-2006
642,Los Angeles Lakers,5.0006,Devean George, SF,2005-2006
643,Washington Wizards,5.0,Antonio Daniels, PG,2005-2006
644,Houston Rockets,5.0,Stromile Swift, PF,2005-2006
645,Charlotte Bobcats,5.0,Gerald Wallace, SF,2005-2006
646,Miami Heat,5.0,Udonis Haslem, PF,2005-2006
647,New York Knicks,6.9455,Quentin Richardson, SF,2005-2006
648,LA Clippers,6.906,Howard Eisley, PG,2005-2006
649,Miami Heat,6.884,Antoine Walker, PF,2005-2006
650,Memphis Grizzlies,6.871431,Mike Miller, SG,2005-2006
651,Sacramento Kings,6.842105,Metta World Peace, SF,2005-2006
652,San Antonio Spurs,6.72,Rasho Nesterovic, C,2005-2006
653,Dallas Mavericks,6.666667,Jason Terry, G,2005-2006
654,New York Knicks,6.48,Jamal Crawford, SG,2005-2006
655,Milwaukee Bucks,6.3532,Joe Smith, PF,2005-2006
656,Portland Trail Blazers,6.3532,Ruben Patterson, PF,2005-2006
657,Toronto Raptors,6.3,Alvin Williams, PG,2005-2006
658,Indiana Pacers,6.274935,Scot Pollard, C,2005-2006
659,Seattle SuperSonics,6.20767,Danny Fortson, C,2005-2006
660,LA Clippers,6.1875,Sam Cassell, PG,2005-2006
661,Sacramento Kings,6.0,Corliss Williamson, PF,2005-2006
662,Minnesota Timberwolves,5.9098,Ricky Davis, SG,2005-2006
663,Detroit Pistons,5.9098,Chauncey Billups, PG,2005-2006
664,Houston Rockets,5.9004,Juwan Howard, PF,2005-2006
665,Minnesota Timberwolves,5.9004,Michael Olowokandi, C,2005-2006
666,Sacramento Kings,5.0,Shareef Abdur-Rahim, PF,2005-2006
667,New York Knicks,5.0,Jerome James, C,2005-2006
668,Sacramento Kings,4.95,Brian Skinner, PF,2005-2006
669,Memphis Grizzlies,4.95,Brian Cardinal, PF,2005-2006
670,Memphis Grizzlies,4.903,Shane Battier, SF,2005-2006
671,Cleveland Cavaliers,4.799108,Donyell Marshall, PF,2005-2006
672,Milwaukee Bucks,4.75,Dan Gadzuric, C,2005-2006
673,San Antonio Spurs,4.69139,Brent Barry, SG,2005-2006
674,Cleveland Cavaliers,4.6218,LeBron James, SF,2005-2006
675,Charlotte Bobcats,4.6,Brevin Knight, PG,2005-2006
676,Toronto Raptors,4.55,Morris Peterson, SG,2005-2006
677,New Jersey Nets,4.55,Marc Jackson, PF,2005-2006
678,Golden State Warriors,4.506261,Mike Dunleavy, SG,2005-2006
679,Brooklyn Nets,4.5012,Andrea Bargnani, C,2005-2006
680,Memphis Grizzlies,4.5,Chucky Atkins, PG,2005-2006
681,Orlando Magic,4.49316,Dwight Howard, C,2005-2006
682,Utah Jazz,4.4,Greg Ostertag, C,2005-2006
683,Minnesota Timberwolves,4.35,Trenton Hassell, SF,2005-2006
684,Milwaukee Bucks,4.34052,Andrew Bogut, C,2005-2006
685,Phoenix Suns,4.25,Raja Bell, SG,2005-2006
686,Memphis Grizzlies,4.25,Damon Stoudamire, PG,2005-2006
687,Houston Rockets,4.2,Moochie Norris, PG,2005-2006
688,Denver Nuggets,4.190476,Eduardo Najera, PF,2005-2006
689,Orlando Magic,4.1352,Darko Milicic, C,2005-2006
690,Cleveland Cavaliers,4.065811,Drew Gooden, PF,2005-2006
691,Charlotte Bobcats,4.02012,Emeka Okafor, C,2005-2006
692,Utah Jazz,4.0,Gordan Giricek, SG,2005-2006
693,Washington Wizards,4.0,Brendan Haywood, C,2005-2006
694,Indiana Pacers,4.0,Sarunas Jasikevicius, PG,2005-2006
695,Orlando Magic,4.0,Carlos Arroyo, PG,2005-2006
696,Toronto Raptors,3.938,Eric Williams, PF,2005-2006
697,Atlanta Hawks,3.883,Marvin Williams, PF,2005-2006
698,Houston Rockets,3.85,Rafer Alston, PG,2005-2006
699,Los Angeles Lakers,3.792817,Chris Mihm, C,2005-2006
700,Denver Nuggets,3.71364,Carmelo Anthony, PF,2005-2006
701,Philadelphia 76ers,3.636364,Kyle Korver, SG,2005-2006
702,Chicago Bulls,3.6102,Ben Gordon, SG,2005-2006
703,"NO/Oklahoma City
 Hornets",3.6,Speedy Claxton, PG,2005-2006
704,Cleveland Cavaliers,3.596924,Damon Jones, PG,2005-2006
705,Portland Trail Blazers,3.52,Voshon Lenard, SG,2005-2006
706,Houston Rockets,3.52,Bob Sura, PG,2005-2006
707,Detroit Pistons,3.5,Dale Davis, PF,2005-2006
708,Atlanta Hawks,3.5,Tyronn Lue, PG,2005-2006
709,Utah Jazz,3.48744,Deron Williams, PG,2005-2006
710,Toronto Raptors,3.41,Mike James, PG,2005-2006
711,New Jersey Nets,3.4,Jeff McInnis, PG,2005-2006
712,Toronto Raptors,3.375,Aaron Williams, C,2005-2006
713,San Antonio Spurs,3.375,Bruce Bowen, SF,2005-2006
714,Memphis Grizzlies,3.375,Bobby Jackson, PG,2005-2006
715,Toronto Raptors,3.348,Chris Bosh, PF,2005-2006
716,Seattle SuperSonics,3.325416,Vitaly Potapenko, C,2005-2006
717,LA Clippers,3.25488,Shaun Livingston, PG,2005-2006
718,Orlando Magic,3.23125,Pat Garrity, PF,2005-2006
719,Chicago Bulls,3.2,Othella Harrington, PF,2005-2006
720,Seattle SuperSonics,3.166154,Vladimir Radmanovic, SF,2005-2006
721,"NO/Oklahoma City
 Hornets",3.14424,Chris Paul, PG,2005-2006
722,Orlando Magic,3.1,Keyon Dooling, PG,2005-2006
723,Denver Nuggets,3.039889,Nene Hilario, C,2005-2006
724,Miami Heat,3.03192,Dwyane Wade, SG,2005-2006
725,LA Clippers,3.0,Zeljko Rebraca, C,2005-2006
726,Charlotte Bobcats,3.0,Kareem Rush, SG,2005-2006
727,San Antonio Spurs,3.0,Robert Horry, PF,2005-2006
728,Los Angeles Lakers,3.0,Slava Medvedenko, PF,2005-2006
729,Philadelphia 76ers,2.9502,Kevin Ollie, PG,2005-2006
730,Cleveland Cavaliers,2.9502,Ira Newble, SF,2005-2006
731,Dallas Mavericks,2.94744,Devin Harris, PG,2005-2006
732,Detroit Pistons,2.925,Tony Delk, PG,2005-2006
733,Memphis Grizzlies,2.9,Jake Tsakalidis, C,2005-2006
734,Charlotte Bobcats,2.84736,Raymond Felton, PG,2005-2006
735,Philadelphia 76ers,2.844828,Steven Hunter, C,2005-2006
736,Seattle SuperSonics,2.812239,Chris Wilcox, PF,2005-2006
737,Chicago Bulls,2.8,Chris Duhon, PG,2005-2006
738,Chicago Bulls,2.775,Andres Nocioni, SF,2005-2006
739,LA Clippers,2.75376,Chris Kaman, C,2005-2006
740,Charlotte Bobcats,2.75,Primoz Brezec, C,2005-2006
741,Denver Nuggets,2.75,Earl Boykins, PG,2005-2006
742,Orlando Magic,2.75,DeShawn Stevenson, SG,2005-2006
743,Atlanta Hawks,2.6772,Josh Childress, F,2005-2006
744,San Antonio Spurs,2.675,Michael Finley, SG,2005-2006
745,Miami Heat,2.64,Michael Doleac, C,2005-2006
746,Phoenix Suns,2.64,Jim Jackson, SF,2005-2006
747,Phoenix Suns,2.589023,Amar'e Stoudemire, C,2005-2006
748,Boston Celtics,2.586207,Brian Scalabrine, PF,2005-2006
749,Portland Trail Blazers,2.58612,Martell Webster, SF,2005-2006
750,Chicago Bulls,2.51388,Kirk Hinrich, SG,2005-2006
751,New Jersey Nets,2.5,Bostjan Nachbar, SF,2005-2006
752,New Jersey Nets,2.5,Clifford Robinson, PF,2005-2006
753,Portland Trail Blazers,2.5,Juan Dixon, SG,2005-2006
754,Washington Wizards,2.461617,Caron Butler, SF,2005-2006
755,Chicago Bulls,2.44392,Luol Deng, SF,2005-2006
756,Washington Wizards,2.433824,Jared Jeffries, PF,2005-2006
757,Indiana Pacers,2.42,Anthony Johnson, PG,2005-2006
758,Charlotte Bobcats,2.401027,Melvin Ely, C,2005-2006
759,Phoenix Suns,2.4,James Jones, SG,2005-2006
760,Toronto Raptors,2.36088,Charlie Villanueva, PF,2005-2006
761,Toronto Raptors,2.333334,Jose Calderon, PG,2005-2006
762,Indiana Pacers,2.328843,Fred Jones, SG,2005-2006
763,San Antonio Spurs,2.325,Fabricio Oberto, C,2005-2006
764,Milwaukee Bucks,2.30304,T.J. Ford, PG,2005-2006
765,Boston Celtics,2.25535,Dan Dickau, PG,2005-2006
766,Toronto Raptors,2.23896,Rafael Araujo, C,2005-2006
767,Chicago Bulls,2.2,Darius Songaila, PF,2005-2006
768,Milwaukee Bucks,2.177114,Jiri Welsch, GF,2005-2006
769,New York Knicks,2.16288,Channing Frye, F,2005-2006
770,Chicago Bulls,2.11692,Michael Sweetney, PF,2005-2006
771,Philadelphia 76ers,2.058,Andre Iguodala, SG,2005-2006
772,Charlotte Bobcats,2.015625,Jake Voskuhl, C,2005-2006
773,Washington Wizards,2.01108,Jarvis Hayes, SF,2005-2006
774,Toronto Raptors,2.0,Matt Bonner, C,2005-2006
775,Minnesota Timberwolves,2.0,Mark Madsen, PF,2005-2006
776,Milwaukee Bucks,2.0,Toni Kukoc, SF,2005-2006
777,Houston Rockets,2.0,Dikembe Mutombo, C,2005-2006
778,Dallas Mavericks,2.0,DeSagana Diop, C,2005-2006
779,Golden State Warriors,1.98816,Ike Diogu, PF,2005-2006
780,Cleveland Cavaliers,1.95516,Luke Jackson, SF,2005-2006
781,Golden State Warriors,1.91052,Mickael Pietrus, SF,2005-2006
782,Los Angeles Lakers,1.88868,Andrew Bynum, C,2005-2006
783,Charlotte Bobcats,1.875,Jumaine Jones, SF,2005-2006
784,Golden State Warriors,1.85736,Andris Biedrins, C,2005-2006
785,Seattle SuperSonics,1.815,Nick Collison, F,2005-2006
786,Houston Rockets,1.8,Jon Barry, SG,2005-2006
787,Seattle SuperSonics,1.76448,Robert Swift, C,2005-2006
788,Detroit Pistons,1.763115,Tayshaun Prince, SF,2005-2006
789,Seattle SuperSonics,1.76,Reggie Evans, C,2005-2006
790,Milwaukee Bucks,1.76,Mo Williams, PG,2005-2006
791,Detroit Pistons,1.76,Lindsey Hunter, SG,2005-2006
792,Minnesota Timberwolves,1.72428,Marcus Banks, PG,2005-2006
793,Utah Jazz,1.7,Jarron Collins, C,2005-2006
794,Philadelphia 76ers,1.699001,John Salmons, SF,2005-2006
795,Portland Trail Blazers,1.67628,Sebastian Telfair, PG,2005-2006
796,LA Clippers,1.67,Yaroslav Korolev, SF,2005-2006
797,Phoenix Suns,1.67,Brian Grant, PF,2005-2006
798,Washington Wizards,1.67,Michael Ruffin, PF,2005-2006
799,Miami Heat,1.67,Derek Anderson, SG,2005-2006
800,Chicago Bulls,1.67,Malik Allen, PF,2005-2006
801,Denver Nuggets,1.67,Greg Buckner, SG,2005-2006
802,Seattle SuperSonics,1.638,Luke Ridnour, PG,2005-2006
803,Charlotte Bobcats,1.61928,Sean May, C,2005-2006
804,New Jersey Nets,1.6,Scott Padgett, PF,2005-2006
805,Utah Jazz,1.5924,Kris Humphries, PF,2005-2006
806,Utah Jazz,1.5924,Devin Brown, SG,2005-2006
807,Portland Trail Blazers,1.56,Joel Przybilla, C,2005-2006
808,Atlanta Hawks,1.56,Josh Smith, PF,2005-2006
809,Milwaukee Bucks,1.55616,Reece Gaines, PG,2005-2006
810,Sacramento Kings,1.54,Jason Hart, PG,2005-2006
811,Minnesota Timberwolves,1.5384,Rashad McCants, SG,2005-2006
812,Boston Celtics,1.51284,Al Jefferson, C,2005-2006
813,Detroit Pistons,1.5,Maurice Evans, SG,2005-2006
814,New Jersey Nets,1.46136,Antoine Wright, SF,2005-2006
815,"NO/Oklahoma City
 Hornets",1.43724,Kirk Snyder, SG,2005-2006
816,Golden State Warriors,1.40436,Zarko Cabarkapa, SF,2005-2006
817,Utah Jazz,1.4,Milt Palacio, PG,2005-2006
818,Toronto Raptors,1.3884,Joey Graham, SF,2005-2006
819,"NO/Oklahoma City
 Hornets",1.33416,David West, F,2005-2006
820,Indiana Pacers,1.31892,Danny Granger, SF,2005-2006
821,"NO/Oklahoma City
 Hornets",1.3,Rasual Butler, SF,2005-2006
822,"NO/Oklahoma City
 Hornets",1.29708,JR Smith, SG,2005-2006
823,Cleveland Cavaliers,1.27416,Sasha Pavlovic, SG,2005-2006
824,Boston Celtics,1.25304,Gerald Green, SG,2005-2006
825,Miami Heat,1.23864,Dorell Wright, SF,2005-2006
